reviews
"

  This product at Rs. 2395 is an absolute stealer. I cannot stop looking at my watch for one or the other reasons and as of this moment, my colleagues and the janitor is fed up of me... lol..Coming to the pros - this watch is an absolute gem as it has a very minimalist dial face which I find riveting and naturally drawn to. The watch is water resistant upto 50 mtrs and has a date window on the dial face. All in all, I literally cannot find any cons with this watch at this stage. And considering the looks alone, this watch is better than not only its similarly priced counterparts but the more expensive watches as well. This watch complements a majority of my outfits as well with ease

"
""
"

  Really superb

"
"

  I've bought this product 6 months ago. It was working fine until one day it stopped I thought maybe it could be because of less battery so I went to titan service centre and show him the watch. When they opened the watch they told it's not the original watch. Plastic is mostly used for  Inside mechanics of watch. So please be careful while taking.

"
"

  This is Defective item so I want to replace it so I ordered replacement for this but the Amazon delivery boy refused to take the order because it's defective.The item is defective that's why I want replacement then why this delievery boy refused to replace the watch.I want to replace it or want to return it.

"
"

  THIS IS MY FIRST OFFICIAL WATCH FOR OFFICE USE I HAVE TO SAY THIS WATCH ITS KIND OF A LOOK THAT GIVES YOU CONFIDENT IN OFFICE YOU FEEL TO SHOW UR WATCH TO EVERYONE THE SMILE ON YOUR FACE WHILE UNBOXING THAT REALLY FEELS OWESOME ORIGINAL IS DIFFERENT COMPARE TO PICS ITS MORE BOLD AND NICE WATCH WITH GOOD STRAPS USING IT FOR A MONTH NO PROBLEM MINERAL GLASS IS SO GOOD

"
"

  I had some issue with the watch, the crown was not able to adjust the date. I placed it on exchange. The second watch i got was in perfect condition. The watch looks really amazing. It has got a classy looks. The only problem is the warranty card has niether date or stamp i wonder how to claim the warranty.

"
"

  I ordered this product for brother and he is very happy for this item.Item is very good to look and fit to hand. I am satisfied with the product and its quality. Strap quality is very good and easy to bind.

"
"

  The emblem of Titen is missing on the key of the watch. Secondly, the dial should have ""OF 299"" at the bottem ie just below 6'O clock mark which is missing. Invoice for the item was not found in the package.Totally disappointed.

"
"

  I had ordered Titan watch. Product is delivered but there is no watch in the Titan box.

"
"

  This product at Rs. 2395 is an absolute stealer. I cannot stop looking at my watch for one or the other reasons and as of this moment, my colleagues and the janitor is fed up of me... lol..Coming to the pros - this watch is an absolute gem as it has a very minimalist dial face which I find riveting and naturally drawn to. The watch is water resistant upto 50 mtrs and has a date window on the dial face. All in all, I literally cannot find any cons with this watch at this stage. And considering the looks alone, this watch is better than not only its similarly priced counterparts but the more expensive watches as well. This watch complements a majority of my outfits as well with ease

"
""
"

  Really superb

"
"

  I've bought this product 6 months ago. It was working fine until one day it stopped I thought maybe it could be because of less battery so I went to titan service centre and show him the watch. When they opened the watch they told it's not the original watch. Plastic is mostly used for  Inside mechanics of watch. So please be careful while taking.

"
"

  This is Defective item so I want to replace it so I ordered replacement for this but the Amazon delivery boy refused to take the order because it's defective.The item is defective that's why I want replacement then why this delievery boy refused to replace the watch.I want to replace it or want to return it.

"
"

  THIS IS MY FIRST OFFICIAL WATCH FOR OFFICE USE I HAVE TO SAY THIS WATCH ITS KIND OF A LOOK THAT GIVES YOU CONFIDENT IN OFFICE YOU FEEL TO SHOW UR WATCH TO EVERYONE THE SMILE ON YOUR FACE WHILE UNBOXING THAT REALLY FEELS OWESOME ORIGINAL IS DIFFERENT COMPARE TO PICS ITS MORE BOLD AND NICE WATCH WITH GOOD STRAPS USING IT FOR A MONTH NO PROBLEM MINERAL GLASS IS SO GOOD

"
"

  I had some issue with the watch, the crown was not able to adjust the date. I placed it on exchange. The second watch i got was in perfect condition. The watch looks really amazing. It has got a classy looks. The only problem is the warranty card has niether date or stamp i wonder how to claim the warranty.

"
"

  I ordered this product for brother and he is very happy for this item.Item is very good to look and fit to hand. I am satisfied with the product and its quality. Strap quality is very good and easy to bind.

"
"

  The emblem of Titen is missing on the key of the watch. Secondly, the dial should have ""OF 299"" at the bottem ie just below 6'O clock mark which is missing. Invoice for the item was not found in the package.Totally disappointed.

"
"

  I had ordered Titan watch. Product is delivered but there is no watch in the Titan box.

"
"

  This is an amazing product because it is as real as its showing in pictures. I would definitely suggest to buy this watch though I bought it when it was in sale. Amazon lower down its rates very frequently so wait and than buy it. Overall it’s totally worthful and I delivered to me on the next day thats again the good thing.

"
"

  This watch would look even better when you wear it. Not a casual watch, best to use for office or with shirts. Worth every penny. Leather strap is good, haven't had any issues with watch or strap for almost 6 months now.

"
"


  Your browser does not support HTML5 video.


   I loved it..amezing watch with perfect size i.e 42mm it is perfect for evry hand wirst because i have large wirst and i am tensed will it perfect or not for me...but i watch a video on YouTube for size perfection and i found that 42 mm is a professional size for evry mans wirst so..i orderd this and it fit for me..and one thing about say it ..it has very fast dilevry i orderd watch berfore 2 days...within 2 dyas this watch delivered to me...love you amazon....but if think price to hingh but it is value for money watch with in 2595....love this watch ...watch video also i added in review....NILESH GOREKAR

"
"

  Good watch.  Those who are not accustomed to wear 4 inch dial watches may feel little uneasiness (like me), but once you start wearing it, such feeling vanishes.  I liked the product.

"
"

  It is one of the very few Titan watches which has a very premium dial at such price point. I bought it around Rs 2000. The dial is just amazing. It very easily goes with casual as well as formal clothes. Its all rounder, you can wear it for any occasion. It has a very mature look. Loved it. The only problem I found is date is not auto adjustable. You have to set it manually everyday.

"
"

  One of the best looking low key watches I have seenBuild quality is very good. This is my first Titan watch, completely satisfied

"
"

  Great deal in worth Rs 1675 only in August Month independence day sale.So..so lucrative,,😍Brown leather and silver dial awesome combination.Apart from this, Watch looking so professional as well as party wear.TITAN_MADE love the product.

"
"

  This item is fake. Finishing is awful. I bought this same watch earlier from here. But this time product is way different than the previous one. I bought many watch's from here but this time they disheartened me. I recommend everyone to check before you buy. This product not recommended.

"
"

  Product was received in good condition and worth the moneySuits brilliant with formal wears and perfect analog watchBut packaging was worstCase was broken and dusty.Looks like it's thrown somewhere in the lowdown for a long periodVery disappointed, its worth 5 star rating but due to packaging I have given it a 4 star rating.

"
"

  I really in delema  it will look good or not, while ordering ,but when I get and put onto my wrist. I feel it is awesome ,classy product and most it shoots on my ideology .And titan is a brand because my mom get one in her marrage. Now I am 23 years old that watch is still looks great and Works smooth.At lastThank you titan family for it.

"
"

  Rubbish product.There is a garbage watch, the key is out, the belt is stitched,

"
"

  Nyc watch.  But  no  dealer's stamp and date  on warranty card.  What if  their will be  any manufacturing fault in  warranty period.?

"
"

  As mentioned in your site it is waterproof but within a month it's got water and after my complain it was replaced but now again after a use of 6 months it got water same as before and it is under warranty so I want proper solution for this, every time same problem what is this. Does someone is checking quality or second hand item r u supplying?

"
"

  First of all thanks to Amazon.. for its first delivery....This is a titan watch titan is a brand company for watch making.... this watch is so nice..... premium bulit quality....and premium leather band..... It's give a gentle look...when you wear in your hand.....superb watch.... excellent product.... value for money....I also recommend you...... superb.... thanks

"
"

  Awesome watch in less price..... Watch is suitable in both formal as well as informal.....the silver shine of watch make it more attractive.....

"
"

  I just loved the watchQuality is best. Looks are goodNo complaints It feels orignal TitanIn hand.Go for it blindly highly recomended

"
"

  I bought this watch considering offer presented to me where I was to get a cashback of 600 INR for using ICICI bank credit card.But I have not received any such cashback yet.Belt color looks a bit dull in reality.Date number can not be moved backwards but only forward.

"
"

  This is really a value for money product. This watch can not only beat other watches in this price segment, but also many expensive watches. Looks damn good, White dial with the quality steel given gives a terrific view. With this you can get a good case and warranty card for 1 year. A must buy product.

"
"

  Disappointed with the product. I purchased it as gift for my friend but the box is broken. The product seems used as it was ticking while i unboxed it. Also, the good is not good enough there were small black dots on inside dial. I bought it for Rs. 2596 but it looks like cheap watches.

"
"

  I love this watch..using it for 1 month .very good lukin nd nice to wear👍👍👍Best watch for ths price

"
"

  Have been using it for the last 1 year now.. the watch look premium and expensive than it actualy costs. Nice to choose if you like leather belted watches..

"
"

  This watch is of very good quality. As of now i have not faced any issue with this watch. The strapping is of good quality and the watch is functioning very well.Overall good value for money watch.

"
"

  The watch is great, this would had gotten a five star review as well, but I received a defective battery on this one and it was a gift to someone, that alone let down titan's entire reputation.

"
"

  Is it lather ribbon, this paint cracking in just in 1 month on analog dial also and looking so filthy then what will happen after six, i never expected this sort product are available on Amazon

"
"

  Duplicate products received

"
